,title,stars,github,Oral day,Oral session,Oral time,Poster day,Poster session,Poster #,First author
1,Detect-To-Retrieve: Efficient Regional Aggregation for Image Search,53671,https://github.com/tensorflow/models/tree/master/research/delf,,,,Wednesday,Poster 2.1,56,Marvin Teichmann
2,A Style-Based Generator Architecture for Generative Adversarial Networks,6720,https://github.com/NVlabs/stylegan,Wednesday,Oral 2.1A,09:47,Wednesday,Poster 2.1,14,Tero Karras
3,Semantic Image Synthesis With Spatially-Adaptive Normalization,4557,https://github.com/NVlabs/SPADE,Tuesday,Oral 1.2B,13:40,Tuesday,Poster 1.2,120,Taesung Park
4,ArcFace: Additive Angular Margin Loss for Deep Face Recognition,3617,https://github.com/deepinsight/insightface,Wednesday,Oral 2.1C,09:42,Wednesday,Poster 2.1,147,Jiankang Deng
5,"Deformable ConvNets V2: More Deformable, Better Results",2550,https://github.com/msracver/Deformable-ConvNets,,,,Thursday,Poster 3.1,37,Xizhou Zhu
6,Bag of Tricks for Image Classification with Convolutional Neural Networks,2468,https://github.com/dmlc/gluon-cv,,,,Tuesday,Poster 1.1,33,Tong He
7,Towards VQA Models That Can Read,2385,https://github.com/facebookresearch/pythia,,,,Wednesday,Poster 2.2,196,Amanpreet Singh
8,DSFD: Dual Shot Face Detector,1445,https://github.com/TencentYoutuResearch/FaceDetection-DSFD,,,,Wednesday,Poster 2.1,51,Jian Li
9,Fast Online Object Tracking and Segmentation: A Unifying Approach,1418,https://github.com/foolwood/SiamMask,,,,Tuesday,Poster 1.1,134,Qiang Wang
10,Deep High-Resolution Representation Learning for Human Pose Estimation,1337,https://github.com/leoxiaobin/deep-high-resolution-net.pytorch,,,,Wednesday,Poster 2.1,130,Ke Sun
11,Joint Discriminative and Generative Learning for Person Re-Identification,1206,https://github.com/layumi/Person_reID_baseline_pytorch,Tuesday,Oral 1.2A,13:30,Tuesday,Poster 1.2,18,Zhedong Zheng
12,Mask Scoring R-CNN,1205,https://github.com/zjhuang22/maskscoring_rcnn,Wednesday,Oral 2.2A,13:35,Wednesday,Poster 2.2,26,Zhaojin Huang
13,Self-Supervised GANs via Auxiliary Rotation Loss,1174,https://github.com/google/compare_gan,,,,Thursday,Poster 3.2,138,Ting Chen
14,PartNet: A Large-Scale Benchmark for Fine-Grained and Hierarchical Part-Level 3D Object Understanding,779,https://github.com/yangyanli/PointCNN,,,,Tuesday,Poster 1.1,68,Kaichun Mo
15,ABC: A Big CAD Model Dataset for Geometric Deep Learning,779,https://github.com/yangyanli/PointCNN,,,,Thursday,Poster 3.1,97,Sebastian Koch
16,Dual Attention Network for Scene Segmentation,778,https://github.com/junfu1115/DANet,,,,Tuesday,Poster 1.2,67,Jun Fu
17,"DeepFashion2: A Versatile Benchmark for Detection, Pose Estimation, Segmentation and Re-Identification of Clothing Images",674,https://github.com/switchablenorms/DeepFashion2,,,,Wednesday,Poster 2.1,79,Yuying Ge
